day,start,end,start_time,end_time,room,cleared_prior,cleared_after,title,description
1,12:30 PM,1:30 PM,1230,1330,beer-garden,?,?,Isekai Stage,
1,2:30 PM,3:30 PM,1430,1530,beer-garden,?,?,hiero. & Lethal Souffle,
1,4:30 PM,5:30 PM,1630,1730,beer-garden,?,?,BONAPPETIT,
1,6:30 PM,7:30 PM,1830,1930,beer-garden,?,?,Kataoka,
1,8:30 PM,9:30 PM,2030,2130,beer-garden,?,?,Apollo Fresh,
1,10:30 PM,11:30 PM,2230,2330,beer-garden,?,?,DJ Disc Jockey,
2,12:30 PM,1:30 PM,1230,1330,beer-garden,?,?,Crepe Queens,
2,2:30 PM,3:30 PM,1430,1530,beer-garden,?,?,Astellium,
2,4:30 PM,5:30 PM,1630,1730,beer-garden,?,?,Stephanie Topalian + Chiisa,
2,6:30 PM,7:30 PM,1830,1930,beer-garden,?,?,Ham Sandwich,
2,8:30 PM,9:30 PM,2030,2130,beer-garden,?,?,Igiko Pop,
2,10:30 PM,11:30 PM,2230,2330,beer-garden,?,?,Breeton Boi,
3,12:00 PM,1:00 PM,1200,1300,beer-garden,?,?,Sleeptalkers,
3,2:00 PM,3:00 PM,1400,1500,beer-garden,?,?,Super Soul Bros,
3,4:00 PM,5:00 PM,1600,1700,beer-garden,?,?,Shao Dow,
3,6:00 PM,7:00 PM,1800,1900,beer-garden,?,?,Lucrecia,
4,11:30 AM,12:30 PM,1130,1230,beer-garden,?,?,Kaz Skellington,
4,1:30 PM,2:30 PM,1330,1430,beer-garden,?,?,Candy Bomber,